Focal,Beh,Rec,Mins
Pe,groom,Wa,4
Pe,In contact,Wa,4
Pe,In contact,Wa,6
Wa,In contact,Bo,9
Wa,In contact,Dl,1
Wa,In contact,Dl,1
Wa,In contact,Dl,1
Wa,In contact,Dl,2
Wa,In contact,Dl,13
Wa,In contact,Nw,1
Wa,groom,Pe,1
Wa,In contact,Pe,2
Wa,groom,Pe,3
Wa,In contact,Pi,62
Wa,embrace,RK,1
Wa,embrace,RK,4
Wa,In contact,Vi,1
Wa,In contact,Vi,4
Ba,In contact,Bo,1
Ba,embrace,Bo,2
Ba,In contact,Bo,5
Ba,In contact,Bo,1
Ba,In contact,Bo,6
Ba,In contact,Bo,8
Ba,groom,Dl,6
Ba,groom,Dl,10
Ba,In contact,Ku,1
Ba,In contact,Ku,1
Ba,groom,Ku,1
Ba,groom,Pe,1
Ba,groom,Pe,1
Ba,In contact,Pi,2
Ba,mating,Wa,1
Ba,mating,Wa,1
Vi,In contact,Dl,4
Vi,play,Vn,1
Vi,groom,Vn,2
Vi,groom,Vt,1
Vi,groom,Vt,1
Vi,groom,Vt,1
Vi,groom,Vt,2
Vi,groom,Vt,2
Vi,groom,Vt,3
Vi,groom,Vt,3
Vi,In contact,Vt,4
Vi,In contact,Vt,19
Vi,In contact,Vt,39
Vi,In contact,Vt,40
Pe,groom,Nw,2
Pe,groom,Nw,2
Pe,In contact,Nw,10
Pe,In contact,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,2
Pe,groom,RK,2
Pe,groom,RK,2
Pe,In contact,RK,2
Pe,In contact,RK,5
Pe,groom,Wa,1
Pe,In contact,Wa,1
Ba,In contact,Bo,2
Ba,In contact,Bo,15
Ba,groom,Pe,1
Ba,In contact,Pe,1
Ba,groom,Pe,8
Ba,groom,Pi,2
Ba,In contact,RK,16
Nw,In contact,Db,2
Nw,play,Ko,1
Nw,In contact,Pe,1
Nw,groom,Vt,1
Nw,groom,Vt,3
Nw,In contact,Vt,16
Ba,groom,Pe,1
Ba,groom,Pe,1
Ba,groom,Pe,8
Ba,In contact,Pe,9
Dl,In contact,RK,1
Dl,groom,RK,1
Dl,In contact,RK,1
Dl,In contact,RK,3
Dl,In contact,RK,49
Ku,In contact,Pe,1
Ku,groom,Pe,1
Ku,groom,Pi,5
Pe,In contact,Ku,1
Pe,groom,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,2
Pe,groom,Pi,2
